id,title,date,article_url,place_of_accident,district,number_of_deaths,number_of_injured,vehicle_type,cause_of_accident,country,report_type,type_of_accident,accident_date,accident_time,month,month_num,condition,accident_hour,month_name,cause_of_accident_normalized
6,"Road accident in Cox’s Bazar leaves 3 dead, 7 injured",2025-06-16 11:43:58,https://en.prothomalo.com/bangladesh/accident/3q4jf6sork,chattogram-cox’s bazar highway in ramu upazila,Cox's Bazar,3,7,"Bus, Covered Van",head-on collision,Bangladesh,event,road accident,2025-06-16,11:43:58,Jun,6,,11,Jun,head-on collision
8,"Two killed, four injured in Khulna road accident",2025-06-09 12:29:25,https://en.prothomalo.com/bangladesh/accident/u3nfbf5ycw,darogar bhita area near rupsha bridge,Khulna,2,4,"Truck, Easy Bike",head-on collision,Bangladesh,event,road accident,2025-06-09,12:29:25,Jun,6,,12,Jun,head-on collision
12,Marma girl's accident injury being propagated as communal murder,2025-01-18 17:15:50,https://en.prothomalo.com/bangladesh/ij8ukl3niq,chattogram,Chattogram,0,1,Motorcycle,bike accident,Bangladesh,event,road accident,2025-01-18,17:15:50,Jan,1,Clear sky,17,Jan,motorcycle accident
15,Four killed in two separate accidents on expressway,2025-01-03 11:19:06,https://en.prothomalo.com/bangladesh/accident/5akfsiu8uf,nimtala area in sirajdikhan upazila,Munshiganj,2,5,"Bus, Covered Van",bus rammed into a parked covered van,Bangladesh,event,road accident,2025-01-03,11:19:06,Jan,1,Mainly clear,11,Jan,bus rammed into a parked covered van
16,"Cause of accident, whereabouts of driver still unknown after 24 hrs",2024-12-28 14:09:42,https://en.prothomalo.com/bangladesh/local-news/d95k7greo0,dhaleshwari toll plaza on dhaka-mawa expressway,Dhaka,6,0,"Bus, Cars",,Bangladesh,event,road accident,2024-12-28,14:09:42,Dec,12,Partly cloudy,14,Dec,
17,One killed as 10 vehicles collide in 4 accidents on Mawa expressway,2024-12-22 11:51:02,https://en.prothomalo.com/bangladesh/local-news/em33yk509m,dhaka-mawa expressway,Munshiganj,1,15,"Cars, Trucks, Motorcycles",low visibility amid dense fog,Bangladesh,event,road accident,2024-12-22,11:51:02,Dec,12,Partly cloudy,11,Dec,low visibility amid dense fog
18,Disinformation spreads in India about Shyamoli bus accident in Brahmanbaria,2024-12-04 11:48:35,https://en.prothomalo.com/bangladesh/mi7u26jp9c,dhaka-agartala-dhaka route,Brahmanbaria,0,0,"Bus, Truck",deliberate collision,Bangladesh,event,road accident,2024-12-04,11:48:35,Dec,12,Overcast,11,Dec,deliberate collision
20,JU student dies in battery run rickshaw accident on campus,2024-11-19 22:51:52,https://en.prothomalo.com/bangladesh/accident/cdqgoni80b,"jahangirnagar university, near the shaheed minar, adjacent to the new arts building",Dhaka,1,0,Battery-Run Rickshaw,,Bangladesh,event,road accident,2024-11-19,22:51:52,Nov,11,Clear sky,22,Nov,
21,Compliance to traffic rules can prevent road accidents,2024-11-18 23:11:08,https://en.prothomalo.com/bangladesh/accident/cacgtffvp5,brac learning centre in faridpur,Faridpur,0,0,,not adhering to traffic rules,Bangladesh,event,road accident,2024-11-18,23:11:08,Nov,11,Clear sky,23,Nov,not adhering to traffic rules
24,Four of same family killed in Sirajganj road accident,2024-08-19 13:06:58,https://en.prothomalo.com/bangladesh/accident/o3r3r11xjp,hatikumrul-banpara highway near the hatikumrul area,Sirajganj,4,1,Truck And Private Car,head-on collision,Bangladesh,event,road accident,2024-08-19,13:06:58,Aug,8,Moderate rain,13,Aug,head-on collision
34,Poor people left out of road accident compensation,2024-05-06 14:08:09,https://en.prothomalo.com/bangladesh/accident/i17ct6bkqx,kanchan of rupganj,Narayanganj,1,3,Bhatbhati,,Bangladesh,event,road accident,2024-05-06,14:08:09,May,5,Heavy rain,14,May,
35,Road accidents: Killing on the highways continues unabated,2024-04-26 15:54:27,https://en.prothomalo.com/bangladesh/accident/a3uemohepq,faridpur,Faridpur,15,0,Bus And Small Truck,"excessive speed, driver's drowsiness, an easy-bike in front of the bus, no fitness certificate for the bus, illegal passenger carrying by the truck, ruts and potholes on the road",Bangladesh,event,road accident,2024-04-26,15:54:27,Apr,4,Mainly clear,15,Apr,excessive speed drivers drowsiness an easybike in front of the bus no fitness certificate for the bus illegal passenger carrying by the truck ruts and potholes on the road
36,17 killed in separate road accidents including 9 in Sajek,2024-04-25 10:30:57,https://en.prothomalo.com/bangladesh/accident/v9yuz4e527,daripara area of baghaichari,Rangamati,9,6,Minitruck,driver lost control over its steering,Bangladesh,event,road accident,2024-04-25,10:30:57,Apr,4,,10,Apr,driver lost control over its steering
38,Motorbike accidents: 125 under treatment in same hospital in two days,2024-04-13 10:04:30,https://en.prothomalo.com/bangladesh/accident/j3fjw6ujz8,"shyamoli, dhaka",Faridpur,0,1,"Motorbike, Nasimon","nasimon suddenly loomed before him, lost control",Bangladesh,event,road accident,2024-04-13,10:04:30,Apr,4,Partly cloudy,10,Apr,nasimon suddenly loomed before him lost control
39,5 including 4 women killed in Gopalganj road accident,2024-03-20 18:00:32,https://en.prothomalo.com/bangladesh/accident/p7zoa7y3hk,chagalchira-domarkandi road,Gopalganj,5,0,"Microbus, Bus",collision between bus and microbus,Bangladesh,event,road accident,2024-03-20,18:00:32,Mar,3,Moderate rain,18,Mar,collision between bus and microbus
42,Road accident kills 7 in Pirojpur,2024-03-08 14:58:22,https://en.prothomalo.com/bangladesh/accident/odn5hyn644,beltala area of pirojpur sadar upazila,Pirojpur,7,0,"Bus, Easy Bike, Motorcycle",bus ran over an easy bike and a motorcycle,Bangladesh,event,road accident,2024-03-08,14:58:22,Mar,3,Clear sky,14,Mar,bus ran over an easy bike and a motorcycle
43,"Father, daughter killed in motorbike accident on Bangabandhu Expressway",2024-02-21 19:03:06,https://en.prothomalo.com/bangladesh/local-news/l8wttn5g3y,bangabandhu sheikh mujibur rahman expressway near hasara fish market,Munshiganj,2,0,Motorcycle,,Bangladesh,event,road accident,2024-02-21,19:03:06,Feb,2,Partly cloudy,19,Feb,
44,NISCHA decides stop providing information on accidents,2024-01-29 17:48:18,https://en.prothomalo.com/bangladesh/accident/304qo59kw5,national press club,Dhaka,0,0,,inconsistent data from various agencies,Bangladesh,event,road accident,2024-01-29,17:48:18,Jan,1,Precipitation not reaching ground,17,Jan,inconsistent data from various agencies
54,Compensation for victims of road accidents from 22 October,2023-10-02 09:09:38,https://en.prothomalo.com/bangladesh/2z4ex90y8k,maligram area on bangabandhu sheikh mujibur rahman highway (dhaka-bhanga expressway),Faridpur,8,0,Ambulance,hit the guardrail of the highway and caught fire,Bangladesh,event,road accident,2023-10-02,09:09:38,Oct,10,Moderate rain,9,Oct,hit the guardrail of the highway and caught fire
57,4 killed in Brahmanbaria road accident,2023-08-21 20:58:13,https://en.prothomalo.com/bangladesh/accident/obnq6z6rly,dhaka-sylhet highway in sohagpur bus stand area,Brahmanbaria,4,3,Covered Van And Cng-Run Auto-Rickshaw,covered van hit a cng-run auto-rickshaw,Bangladesh,event,road accident,2023-08-21,20:58:13,Aug,8,Partly cloudy,20,Aug,covered van hit a cngrun autorickshaw
60,"Road accidents: Why is the law not implemented?

",2023-08-07 09:39:20,https://en.prothomalo.com/opinion/editorial/x5us9wakow,jhalakathi,Jhalokati,17,0,Bus,"driver's rashness, unprofessional behaviour, driving heavy vehicles with light vehicle driving license, and deteriorated road condition.",Bangladesh,event,road accident,2023-08-07,09:39:20,Aug,8,Heavy rain,9,Aug,drivers rashness unprofessional behaviour driving heavy vehicles with light vehicle driving license and deteriorated road condition
63,Two killed in Tangail road accident,2023-08-05 20:44:08,https://en.prothomalo.com/bangladesh/accident/5lppc2ia60,kalihati upazila,Tangail,2,0,"Car, Motorcycle",collision,Bangladesh,event,road accident,2023-08-05,20:44:08,Aug,8,Heavy rain,20,Aug,collision
64,Two killed in Gazipur road accident,2023-08-04 14:26:18,https://en.prothomalo.com/bangladesh/accident/pszobbrvkz,dhaka-tangail highway,Gazipur,2,8,Microbus,,Bangladesh,event,road accident,2023-08-04,14:26:18,Aug,8,Moderate rain,14,Aug,
65,ASI killed in Cumilla road accident,2023-08-03 10:07:25,https://en.prothomalo.com/bangladesh/accident/6uz33z1545,chapitala union,Cumilla,1,1,"Motorcycle, Auto Rickshaw",collision between motorcycle and auto rickshaw,Bangladesh,event,road accident,2023-08-03,10:07:25,Aug,8,Light rain,10,Aug,collision between motorcycle and auto rickshaw
66,3 killed in Rajshahi road accident,2023-08-02 15:41:11,https://en.prothomalo.com/bangladesh/accident/yx9im5af9f,mohanpur area,Rajshahi,3,5,"Cattle-Laden Human Hauler, A Truck And A Battery-Run Auto Rickshaw",collision,Bangladesh,event,road accident,2023-08-02,15:41:11,Aug,8,,15,Aug,collision
67,Road accident kills three in Kurigram,2023-07-29 09:57:51,https://en.prothomalo.com/bangladesh/accident/5lhag15dma,kurigram-bhurungamari regional highway,Kurigram,3,0,Motorcycle,,Bangladesh,event,road accident,2023-07-29,09:57:51,Jul,7,Light rain,9,Jul,
69,University student among 2 killed in Dhaka road accidents,2023-07-14 09:26:24,https://en.prothomalo.com/bangladesh/accident/3n9bqir0ye,rampura and hatirjheel,Dhaka,2,0,,,Bangladesh,event,road accident,2023-07-14,09:26:24,Jul,7,Light rain,9,Jul,
72,3 die in Nilphamari road accidents,2023-07-08 21:02:37,https://en.prothomalo.com/bangladesh/accident/jkwqpguiw2,jaldhaka and kishoreganj upazilas of nilphamari,Nilphamari,3,0,,,Bangladesh,event,road accident,2023-07-08,21:02:37,Jul,7,Moderate rain,21,Jul,
76,7 victims of Faridpur road accident identified,2023-06-24 19:14:50,https://en.prothomalo.com/bangladesh/accident/8b32ggknca,dhaka-bhanga expressway near the maligram flyover,Faridpur,7,0,Ambulance,hitting the railing of a road and catching fire,Bangladesh,event,road accident,2023-06-24,19:14:50,Jun,6,Light rain,19,Jun,hitting the railing of a road and catching fire
